,ListingNumber,Term,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,CreditScoreRangeLower,CreditScoreRangeUpper,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
ListingNumber,1.0,0.3199713299642627,-0.03152033084239083,-0.11439134264317884,-0.11354432966772837,-0.2177213518598543,-0.23956775182511664,-0.4613905745026114,0.2091997271046683,-0.10623498504350103,0.12706166865919694,0.15622353099917233,0.07674452582524138,-0.4396529717006975,0.2693952506526761,0.2693952506526761,0.14562069959359628,0.19570736127301375,0.1303688066564249,0.23210881046809656,0.1841008366708577,-0.29894148277358856,-0.2802277992202043,-0.2333263466681072,-0.024627294084450815,-0.07833619220997041,-0.04546707521541739,-0.07315141805275066,0.05705582161618268,0.08605283101869905,0.03669010200256972,0.13472878104119973,0.25465892812211466,-0.08453118208424783,-0.041809586747437885,-0.02402679625872582,0.07611274337749888,0.1748337017090361,0.1316718011786674,0.13206280503739926,0.020872910255679174,-0.005101344878785879,0.2525826575438902,0.16424845995954618,-0.12640922437626978,-0.3702261577164186,-0.15506228912305767,-0.9391794050706371,0.9950947054928463,0.3403600808146084,0.277266549153955,-0.38081436548110703,-0.3665550714754556,-0.28116977237341434,0.20828577017103053,0.10419068381061167,-0.25173944616580496,-0.24771575477865068,-0.0960042799961973,0.01468782526166307,-0.1260310052467054,-0.09281308725270865,-0.05348053926196009,-0.27965866844602566
Term,0.3199713299642627,1.0,-0.01118346854765218,0.02008536626835116,0.020556136303180823,0.057046563301561104,-0.10714008505671298,0.1525054128096755,0.07917914450960047,0.028946520426279383,0.004947144326446121,0.08247590573999251,0.0853393139840608,-0.14375114078809206,0.12626345342508555,0.12626345342508555,0.0770721243388801,0.09630874584008679,0.07652777507006443,0.09363651819940813,0.08404879172502062,-0.11356801898915167,-0.10313240395705352,-0.08380736677187337,-0.0164587234328554,-0.04149237889471673,-0.029511669768237162,-0.026251691206454392,0.026022497977002953,0.031535353142426274,0.015347737467368365,0.0796503466782435,0.11934193209886261,-0.02947603537791703,-0.014670053166760417,0.040402464954061516,0.0284792509158668,0.07031143906692365,0.0024619700143278197,0.0031472047683738544,-0.0029124951203434468,-0.008327793471751024,0.1304928258074143,0.15337171221917567,-0.048156926858593706,-0.13413431757169803,-0.07081917468470579,-0.34213032902728774,0.3356097049716387,0.33892745773451693,0.09102577974802471,-0.06969554143010702,-0.12825514095038498,0.15889024855811287,-0.16760036570422113,0.03584137078940775,-0.038353464517686,-0.03598066128560143,-0.03415741041482865,-0.02880641859407123,-0.05667969401761505,-0.043507048271918834,-0.024471880594512996,-0.045136519163166244
BorrowerAPR,-0.03152033084239083,-0.01118346854765218,1.0,0.9898239703032087,0.9893289051565728,0.8956348211024109,0.9495375016817327,0.7942751982947496,-0.9621512643205855,-0.6682871968922639,0.13245583482396034,-0.008588600881412882,-0.13282261789554822,-0.054566785477661965,-0.4297073220586866,-0.4297073220586866,-0.0934814576261673,-0.09886049222824231,0.002513417352464102,-0.1102023309840203,-0.04336543281938462,0.1461193077096778,0.11454640726097183,0.14940393564390436,0.06567919466222272,0.1622253910189315,0.12279280943927891,0.044094991345276384,-0.058539450975788235,0.2614380402519363,-0.348926134854317,-0.041893874837259676,-0.24134888301146026,0.10352723272489646,0.05632741744355818,-0.10997450375153207,-0.08233849089724919,-0.04146684115129476,0.03139883383818646,0.01863241313783099,0.09103391705513314,0.05534545353868757,-0.2062091362282549,-0.09034745378583196,-0.23196150804298263,0.08803154048305491,-0.18595560239172154,-0.07377282950025224,-0.03626890175252501,-0.32288668996970254,-0.22665286681437624,-0.11134989332144361,-0.18044529597051331,0.16972550664553648,0.11697367806025488,-0.04145199424914932,0.06730089212698258,0.06738529560324952,0.028519307899695742,-0.02823558579828025,-0.04423648406008291,-0.04675702929057233,-0.031841379581058746,-0.3076060533203787
BorrowerRate,-0.11439134264317884,0.02008536626835116,0.9898239703032087,1.0,0.99921133065114,0.895282455865617,0.9452969842603829,0.8176698691858469,-0.9531048858765379,-0.6497361439772402,0.1029134877442545,-0.019907440371092447,-0.13443056184458177,-0.0019638172098211536,-0.4615666774285071,-0.4615666774285071,-0.0974728011182029,-0.1059983590079865,-0.005793111196543213,-0.12598730952055884,-0.05562837403934206,0.18381002302390126,0.15312874783884267,0.17653008360220274,0.06564467376257431,0.1702787035860903,0.12831378044688005,0.051168538892753246,-0.059608230500830306,0.25548202913956697,-0.34386114299282217,-0.048210682255702644,-0.26118945893218554,0.11453845531457464,0.06291678009428991,-0.09954015876121648,-0.08898179888781738,-0.049270048216163084,0.01921694471343965,0.006995634440158214,0.08576981813823337,0.050769960264652435,-0.20646117654082852,-0.08568468372540083,-0.21715466957731422,0.13624360813772188,-0.17293577142801328,0.020419565631935272,-0.11872140555529834,-0.32895994993849814,-0.24474235007586478,-0.08105506412328066,-0.15372229649905625,0.20047913270675546,0.09599325934012226,-0.05337824759610689,0.1006347839610937,0.10030834027962682,0.04205874480982919,-0.029024572397658946,-0.03057868959367715,-0.03731181518282165,-0.026511608922689223,-0.2742169423223071
LenderYield,-0.11354432966772837,0.020556136303180823,0.9893289051565728,0.99921133065114,1.0,0.8953425375157404,0.9453083582576893,0.817654071049664,-0.9531193707636602,-0.6497834730131224,0.10439453357701978,-0.018954461578446172,-0.13299346025973102,-0.012683166249592077,-0.45435002294709487,-0.45435002294709487,-0.09631824309051021,-0.10479000923242791,-0.005470025040915728,-0.12460929600200649,-0.05471823122641427,0.18048251477226643,0.14991519151172278,0.17185380702563602,0.06502080077382441,0.16799984985493288,0.12639889404675853,0.04988264933239134,-0.05866544460934615,0.2537549186721722,-0.34093928179603133,-0.04724919209361399,-0.25628288320427667,0.11348213091731509,0.06194247234339778,-0.10015853335388882,-0.08820780629927383,-0.04951391218263146,0.01894512727448983,0.006723592593576095,0.08572415020742463,0.05077366835696951,-0.20672534975267068,-0.0857902484724481,-0.2170563415756315,0.13183976040417905,-0.17082495546348733,0.019154751917267492,-0.11795940242977886,-0.3284551073492601,-0.24421415143689282,-0.07905241165282599,-0.15156309713745666,0.20116156551998476,0.0978544286217626,-0.0529541818158753,0.09950623572635531,0.09919506645186517,0.04102516448116786,-0.029209384374501407,-0.031068701343786465,-0.037301855670184715,-0.026631800754614066,-0.2741738655018894
EstimatedEffectiveYield,-0.2177213518598543,0.057046563301561104,0.8956348211024109,0.895282455865617,0.8953425375157404,1.0,0.7981345555339308,0.8015679050970198,-0.8483935777291273,-0.632003389666307,0.10847540665333086,-0.023314520458826,-0.11100188479510047,-0.04802435103051785,-0.44512663375351863,-0.44512663375351863,-0.08947219348057725,-0.10152871311297598,-0.021227497424470814,-0.10996143151065581,-0.046540587777707636,0.22129314076516543,0.12746887918391087,0.13217203533521532,0.05436930000807075,0.1371783103017316,0.11076955301428464,0.03558938164184525,-0.048707001051712336,0.21974988257847972,-0.3242046878973261,-0.053520312932608484,-0.22899003460378642,0.14282906371741436,0.12850609568375584,-0.09768642567701903,-0.07910101698479004,-0.012418499347379899,0.0024929199887433642,-0.011209128854190105,0.0912773023504844,0.05399508457362077,-0.14334979515037732,-0.012066958768804094,-0.33995738917385143,0.13428767011854906,-0.1828873594918245,0.06244294227273259,-0.19387821399621938,-0.3272657134794812,-0.25158754935515676,-0.006059311728592006,-0.08642254093710226,0.25293619258990613,0.05830858213539947,-0.06870806440737243,0.13942101978208046,0.13871181103366964,0.04901385145404187,-0.04336576216574214,-0.04669429344748981,-0.06384755657336309,-0.03814571788913016,-0.2652435069615692
EstimatedLoss,-0.23956775182511664,-0.10714008505671298,0.9495375016817327,0.9452969842603829,0.9453083582576893,0.7981345555339308,1.0,0.5910556660530198,-0.9641819094002694,-0.673726989962024,0.0990307909970286,-0.03916047335205448,-0.12715104035029928,0.022090013698993594,-0.5112628168679659,-0.5112628168679659,-0.10197499438780128,-0.11762373392237134,-0.028852216565709143,-0.1322760452248035,-0.07208121864736317,0.27975978575821703,0.19772964394817616,0.15534473806628918,0.05173781677771816,0.14390562661160544,0.11371874926518667,0.03593823257247242,-0.06649753815594585,0.23375668347818715,-0.3427707434475718,-0.06812824474232568,-0.25937991662991783,0.15274275214218846,0.12611550310842826,-0.1190541000192016,-0.08925850262719448,-0.040203502872811145,0.03758428078435303,0.027464512443355422,0.07236099444214261,0.043721075401137996,-0.20575423694642891,-0.11472840731554074,-0.16992528503483095,0.19532174428295218,-0.07838648378019548,0.20191614402957012,-0.24082293762001186,-0.4298904027412943,-0.3287027419279995,-0.08526058641289602,-0.13354851453600408,0.10798681406367705,0.19747066900946111,-0.061119077141461545,0.0933375169394551,0.09205292574520263,0.05104914158016081,-0.022737704228265643,0.004080628058205005,0.009475168720203197,0.02455528058313031,-0.2755008821065262
EstimatedReturn,-0.4613905745026114,0.1525054128096755,0.7942751982947496,0.8176698691858469,0.817654071049664,0.8015679050970198,0.5910556660530198,1.0,-0.6599802455668912,-0.38321059157501913,0.09222942897848134,-0.036486505848033556,-0.0861617795878924,0.004943772563941687,-0.34623273155804374,-0.34623273155804374,-0.10384774070534233,-0.12455213732251907,-0.036331493606782374,-0.13045698628035016,-0.06410603440662976,0.15350688449623484,0.08378080239809889,0.10223428065477431,0.03835456414470449,0.09443582138625692,0.07474186864638596,0.03610581589514196,-0.04806599407773047,0.1608579469281889,-0.28414710576646124,-0.06566265250592476,-0.20468732957341895,0.07832295850601985,0.08723616611862009,-0.08280314827237018,-0.07501281493095409,-0.06513692272983726,-0.02620299590302492,-0.03751219652112298,0.070381995058738,0.04611930879378423,-0.1673691683416712,-0.04872691170146025,-0.20460309025544807,0.22340881835615425,-0.021910144515005257,0.37272723731148105,-0.4527312419711889,-0.2861175065046045,-0.25273126791280304,0.16794988697956528,0.058197911027172776,0.44042467118923,-0.1362742900278463,-0.094614120436068,0.19638405210769425,0.19447939123777874,0.07505328780299575,-0.03942161647484642,-0.019885511005265664,-0.04302165919160113,-0.03190235621002892,-0.09233728591472486
ProsperRating (numeric),0.2091997271046683,0.07917914450960047,-0.9621512643205855,-0.9531048858765379,-0.9531193707636602,-0.8483935777291273,-0.9641819094002694,-0.6599802455668912,1.0,0.7052214196390406,-0.09447404731182338,0.03607306145158663,0.13647032533237857,-0.012779402683345218,0.5488738499269037,0.5488738499269037,0.09237705551223627,0.10754260156682859,0.02702217487294859,0.12365184668531329,0.059874553119118906,-0.26430511791639943,-0.18870480496541203,-0.14520525586630723,-0.05107092227940126,-0.14714931461610065,-0.12110313613406475,-0.03579074108730509,0.06206839137182998,-0.26521736505051136,0.37443166480837226,0.06707096619168428,0.26135521445189275,-0.15257126586297434,-0.13534359067483953,0.11600329859749366,0.09430582996379251,0.04745476662682465,-0.028316424394447173,-0.016737469006614086,-0.08021818742480973,-0.050839049016035136,0.22698372108434645,0.10915391630607857,0.21786987878471062,-0.17444982720171998,0.11240316018665428,-0.16321265799883014,0.207118868776508,0.4285572220315477,0.32926206009188796,0.1037114148922254,0.1541510118645117,-0.10490096580087573,-0.21133743967908536,0.058148229986668146,-0.08611848492767957,-0.0849429415351577,-0.046824377935661216,0.012490988250370497,0.004772415966918861,0.007745539608180562,-0.01045938239906671,0.3077531242672988
ProsperScore,-0.10623498504350103,0.028946520426279383,-0.6682871968922639,-0.6497361439772402,-0.6497834730131224,-0.632003389666307,-0.673726989962024,-0.38321059157501913,0.7052214196390406,1.0,-0.009717876613464384,-0.007302108543087256,0.06443777693052674,0.03003203475389235,0.369603047403269,0.369603047403269,-0.008497456580140908,-0.0016089827545172036,-0.0372515471374441,0.030016687196053958,0.010118668736875237,-0.29676185902281965,-0.21576618057444788,-0.10061224252453889,-0.041600592215425315,-0.09775473822966585,-0.08537386633763881,-0.014884520544860634,0.0424174883338047,-0.2446955704421548,0.3185580380685015,-0.011130754231019576,0.12989369358239702,-0.2170775639496981,-0.14533589210025621,0.15461887779927075,0.08375665332991505,0.07052196697343857,0.04874837757350923,0.06092131792608968,-0.07217037861984976,-0.05070449544327728,0.19468503804848283,0.03442193578573263,0.2541766081939761,-0.03912070493780733,0.16116678904882709,0.17761489112759185,-0.12093836131987241,0.266293336187816,0.17542487866637418,0.1852895114887511,0.21319705010704454,0.010905208577290276,-0.2314637168571795,0.020132659919928967,-0.02483582659646544,-0.02478853821653152,-0.01783481872791146,-0.019343991556130154,0.026657580125478503,0.028343352433609473,0.0031310353644592314,0.32059380263020293
